"% Model","T sweep - SOFC_NH3_Ni_GDC_MS.mph","","",""
"% Version","COMSOL 6.2.0.415","","",""
"% Date","Aug 9 2024, 09:37","","",""
"% Table","Table 11 - Domain Probe - Average Current Density","","",""
"% T (degC)","V_cell (V)","Average cell current density (A/cm^2)","Volume flow (ml/min)","Mass outflow (ug/s)"
"700","0.22","1.2353618886365","91.597009819156","265.90961264696"
"700","0.32","1.1456404655866","87.457312321479","251.70373319972"
"700","0.42","0.99783771725761","87.046868165033","238.95659917388"
"700","0.52","0.84754968921403","86.894017590747","226.47885757721"
"700","0.62","0.70010831210864","86.628190686187","214.07701327131"
"700","0.72","0.5562947648868","86.263643596127","201.87852246794"
"700","0.82","0.41429156235343","86.065330634307","190.10378302162"
"700","0.92","0.27402070952294","86.336188831466","179.0606642808"
"746","0.22","1.3799955107137","91.437352398256","270.58483852236"
"746","0.32","1.2687756511838","87.293559010813","254.49056157562"
"746","0.42","1.0983407480961","87.065275708684","240.22424095586"
"746","0.52","0.92879820434595","86.833985186059","226.06194229419"
"746","0.62","0.76167828836821","86.542783335517","212.04502395396"
"746","0.72","0.59829798343104","86.16400860916","198.25756814376"
"746","0.82","0.43866011077402","85.864337811744","184.93795487476"
"746","0.92","0.26555071833679","86.519982945609","172.85160491601"
"800","0.22","1.4657469976833","91.22876577538","269.79413900215"
"800","0.32","1.3362880403869","87.259323206667","252.5273618138"
"800","0.42","1.1528649425661","87.006045799087","237.19489145378"
"800","0.52","0.97045995672435","86.708160653746","221.91621563722"
"800","0.62","0.78975239932708","86.399871786786","206.80543599793"
"800","0.72","0.61305645752839","86.010354548889","191.96051854351"
"800","0.82","0.44217228819631","85.592822367602","177.61905937933"
"800","0.92","0.2601747268553","86.254459990688","164.78537722316"
